Player,Pos,GP,GS,Min.,G,A,Pts,Y/R,Caps/Goals
"Boxx, Shannon",M,9,2,219,0,1,1,0/0,195/27
"Brian, Morgan",M,24,19,1663,1,2,4,1/0,43/4
"Chalupny, Lori",D,11,5,503,2,1,5,0/0,106/10
"Dunn, Crystal",D,8,6,488,4,3,11,1/0,20/4
"Engen, Whitney",D,6,3,381,1,1,3,0/0,29/4
"Harris, Ashlyn",GK,4,3,270,0,0,0,0/0,8/0
"Heath, Tobin",M,21,13,1180,1,3,5,1/0,106/12
"Hinkle, Jaelene",D,4,0,155,0,0,0,0/0,4/0
"Holiday, Lauren",M,19,17,1468,1,6,8,2/0,133/24
"Horan, Lindsey",F,4,3,294,1,3,5,1/0,6/1
"Johnston, Julie",D,21,21,1679,5,1,11,1/0,26/5
"Klingenberg, Meghan",D,26,23,1970,2,1,4,0/0,50/3
"Krieger, Ali",D,22,18,1580,0,2,2,0/0,79/1
"Leroux, Sydney",F,11,4,467,2,2,6,0/0,75/35
"Lewandowski, Gina",D,1,0,17,0,0,0,0/0,1/0
"Lloyd, Carli",M,26,24,2073,18,5,40,2/0,211/79
"McCaffrey, Stephanie",F,4,0,101,1,1,3,0/0,4/1
"Mewis, Samantha",M,1,0,19,0,0,0,0/0,4/0
"Morgan, Alex",F,22,19,1547,7,0,14,1/0,99/56
"Naeher, Alyssa",GK,3,1,180,0,0,0,0/0,4/0
"O'Hara, Kelley",D,17,8,705,1,2,4,0/0,69/1
"O'Reilly, Heather",M,12,4,453,5,2,12,0/0,227/46
"Press, Christen",F,20,13,1159,10,4,24,0/0,55/29
"Rampone, Christie",D,7,2,300,0,0,0,0/0,311/4
"Rapinoe, Megan",M,17,14,983,2,9,13,2/0,113/31
"Rodriguez, Amy",F,15,5,589,2,3,7,0/0,129/30
"Sauerbrunn, Becky",D,25,25,2184,0,0,0,1/0,96/0
"Solo, Hope",GK,23,22,1890,0,0,0,0/0,185/0
"Sonnett, Emily",D,4,1,170,0,0,0,0/0,4/0
"Van Hollebeke, Rachel",D,1,1,90,0,0,0,0/0,113/5
"Wambach, Abby",F,23,10,979,7,4,18,0/0,255/184
