Player,Pos,GP,GS,Min.,G,A,Y/R,Caps/Goals
"Brian, Morgan",M,6,2,235,0,0,0/0,69/6
"Campbell, Jane",GK,2,0,61,0,0,0/0,2/0
"Dahlkemper, Abby",D,11,10,945,0,1,0/0,13/0
"Dunn, Crystal",F,12,7,657,4,1,0/0,57/22
"Ertz, Julie",F,12,8,719,6,0,0/0,57/14
"Harris, Ashlyn",GK,3,3,209,0,0,0/0,14/0
"Heath, Tobin",M,4,2,212,0,0,0/0,132/18
"Horan, Lindsey",M,13,6,733,1,4,1/0,43/4
"Huerta, Sofia",D,3,1,156,0,1,0/0,3/0
"Klingenberg, Meghan",D,4,4,225,0,1,0/0,74/3
"Krieger, Ali",D,2,1,135,0,0,0/0,98/1
"Lavelle, Rose",M,7,7,477,2,1,0/0,7/2
"Leroux, Sydney",F,2,0,31,0,0,0/0,77/35
"Lloyd, Carli",M,14,8,652,2,2,1/0,246/98
"Long, Allie",M,13,7,748,3,0,0/0,33/6
"Mewis, Samantha",M,16,16,"1,242",3,1,0/0,34/7
"Morgan, Alex",F,14,7,698,7,2,0/0,134/80
"Naeher, Alyssa",GK,13,13,"1,170",0,0,1/0,23/0
"O'Hara, Kelley",D,13,11,872,0,2,1/0,104/2
"Oyster, Megan",D,2,0,58,0,0,0/0,2/0
"Press, Christen",F,16,8,741,3,3,1/0,96/44
"Pugh, Mallory",F,12,9,756,2,4,0/0,29/6
"Rapinoe, Megan",M,12,8,648,3,5,0/0,129/34
"Rodriguez, Amy",F,1,0,10,0,0,0/0,130/30
"Sauerbrunn, Becky",D,16,16,"1,350",0,1,1/0,135/0
"Short, Casey",D,15,13,"1,116",0,1,1/0,19/0
"Smith, Taylor",M,7,4,379,0,2,0/0,7/0
"Sullivan, Andi",M,3,1,76,0,0,0/0,7/0
"Williams, Lynn",F,11,4,484,3,0,1/0,15/4
"Zerboni, McCall",M,1,0,45,0,0,0,1/0
